FoodexL1,PopClass,Mean
Animal and vegetable fats and oils,Other children,27
Animal and vegetable fats and oils,Adolescents,21
Animal and vegetable fats and oils,Adults,15
Animal and vegetable fats and oils,Elderly,19
Animal and vegetable fats and oils,Very elderly,21
Carbohydrates,Other children,324
Carbohydrates,Adolescents,303
Carbohydrates,Adults,337
Carbohydrates,Elderly,334
Carbohydrates,Very elderly,353
Fruit and fruit products,Other children,106
Fruit and fruit products,Adolescents,88
Fruit and fruit products,Adults,192
Fruit and fruit products,Elderly,165
Fruit and fruit products,Very elderly,167
Meats,Other children,157
Meats,Adolescents,167
Meats,Adults,208
Meats,Elderly,206
Meats,Very elderly,227
Milk and dairy products,Other children,296
Milk and dairy products,Adolescents,207
Milk and dairy products,Adults,157
Milk and dairy products,Elderly,133
Milk and dairy products,Very elderly,141
Vegetables,Other children,87
Vegetables,Adolescents,81
Vegetables,Adults,146
Vegetables,Elderly,150
Vegetables,Very elderly,155
