Country,Survey,PopClass,FoodexL1,Metrics,NrConsumers,PercConsumers,Mean,STD,P5,P10,Median,P95,P97,P99
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Grains and grain-based products,A.01.000001,305,99.00,248.26,120.64,75,100,241,477.25,527.75,578.25
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Vegetables and vegetable products (including fungi,A.01.000317,246,79.90,112.08,92.8,10,20,93.69,303,356.5,431
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Starchy roots and tubers,A.01.000467,109,35.40,88.38,53.14,32.5,35,70.5,219.5,243.75,250
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Legumes, nuts and oilseeds",A.01.000486,71,23.10,34.18,40.93,3,5,20,100,190.5,270
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fruit and fruit products,A.01.000544,263,85.40,191.56,149.53,25,35,152.5,447,554.25,809
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Meat and meat products (including edible offal),A.01.000727,251,81.50,101.66,92.68,12.5,21.5,86,258,320.5,407.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,"Fish and other seafood (including amphibians, rept",A.01.000876,64,20.80,75.15,43.44,10.5,15,77.75,142.5,148,211
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Milk and dairy products,A.01.000948,294,95.50,157.44,137.73,20,25,123.5,390,528.5,637.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Eggs and egg products,A.01.001252,33,10.70,31.52,10.36,15,30,30,60,60,60
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Sugar and confectionary,A.01.001267,223,72.40,24.17,24.01,2.5,4.15,16.65,74.5,88.8,114.5
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Animal and vegetable fats and oils,A.01.001346,263,85.40,14.92,11.13,1.46,3.88,13.3,31.98,35,44.63
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Fruit and vegetable juices,A.01.001394,156,50.60,218.09,200.29,15,27,137.5,640,795,890
Austria,Austrian Study on Nutritional Status 2010-12 - Adults,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,287,93.20,552.83,492.66,125,180,430,"1,380.00","1,640.00","3,350.00"
